x,y,r
506740.0,127920.0,8.8116
506750.0,130600.0,8.8107
506770.0,133140.0,8.8475
506800.0,128710.0,8.7975
506820.0,130060.0,8.8022
506820.0,132580.0,8.834
506870.0,132020.0,8.8212
506890.0,126670.0,8.8463
506890.0,127430.0,8.8416
506910.0,129540.0,8.7933
506920.0,131460.0,8.8127
506920.0,128210.0,8.8082
506930.0,135790.0,8.8804
506940.0,135200.0,8.8556
506960.0,134620.0,8.8512
506980.0,130920.0,8.8064
506990.0,134040.0,8.8494
507010.0,129010.0,8.7925
507030.0,133470.0,8.8446
507050.0,126940.0,8.844
507050.0,130380.0,8.8003
507060.0,127710.0,8.8307
507070.0,132900.0,8.8298
507120.0,132340.0,8.8127
507120.0,128500.0,8.8036
507130.0,129840.0,8.7918
507170.0,131790.0,8.802999999999999
507220.0,127220.0,8.8399
507220.0,129320.0,8.786
507220.0,136140.0,8.855
507220.0,135550.0,8.8408
507220.0,131240.0,8.7985
507240.0,134960.0,8.8398
507250.0,127990.0,8.8222
507260.0,134380.0,8.8435
507280.0,130690.0,8.7956
507290.0,133800.0,8.8433
507320.0,128800.0,8.7955
507330.0,133230.0,8.8297
507350.0,130150.0,8.7896
507370.0,132670.0,8.8065
507390.0,127500.0,8.8338
507420.0,132110.0,8.7923
507440.0,128280.0,8.8112
507440.0,129620.0,8.7803
507470.0,131550.0,8.7876
507510.0,135900.0,8.8229
507520.0,135300.0,8.8298
507520.0,131000.0,8.7875
507520.0,136500.0,8.8122
507530.0,129090.0,8.7834
507540.0,134710.0,8.8404
507560.0,134130.0,8.8427
507580.0,127780.0,8.8212
507590.0,130460.0,8.7853
507600.0,133560.0,8.8312
507630.0,132990.0,8.8045
507640.0,128570.0,8.799
507660.0,129920.0,8.7763
507670.0,132430.0,8.7824
507720.0,131870.0,8.7752
507750.0,129390.0,8.7708
507770.0,128060.0,8.7956
507770.0,131320.0,8.7764
507810.0,136250.0,8.8023
507810.0,135650.0,8.8211
507820.0,135050.0,8.8365
507820.0,130770.0,8.7781
507830.0,134470.0,8.8436
507840.0,136860.0,8.7793
507850.0,128860.0,8.7833
507860.0,133890.0,8.8345
507890.0,130230.0,8.772
507900.0,133320.0,8.8052
507930.0,132750.0,8.7752
507970.0,129690.0,8.7617
507970.0,132190.0,8.7628
508020.0,131640.0,8.7635
508060.0,129160.0,8.7668
508070.0,131080.0,8.7679
508100.0,135390.0,8.8337
508110.0,134800.0,8.8449
508110.0,135990.0,8.8119
508130.0,130540.0,8.7654
508130.0,134220.0,8.837
508130.0,136610.0,8.7885
508160.0,133640.0,8.8075
508170.0,137230.0,8.7787
508190.0,133080.0,8.7707
508200.0,129990.0,8.7547
508230.0,132510.0,8.7515
508240.0,137870.0,8.8384
508270.0,131950.0,8.75
508280.0,129460.0,8.7532
508320.0,131400.0,8.7556
508370.0,130850.0,8.7548
508400.0,135140.0,8.8461
508400.0,135740.0,8.834
508410.0,134550.0,8.8388
508420.0,136350.0,8.8093
508430.0,130300.0,8.7453
508430.0,133970.0,8.8091
508450.0,136970.0,8.7898
508460.0,133400.0,8.767000000000001
508490.0,132830.0,8.7413
508510.0,129760.0,8.7412
508520.0,137610.0,8.7978
508530.0,132270.0,8.7366
508570.0,131710.0,8.7418
508600.0,138270.0,8.8469
508620.0,131160.0,8.7436
508670.0,130610.0,8.7286
508700.0,134880.0,8.8408
508700.0,135480.0,8.8471
508710.0,134300.0,8.8103
508710.0,136090.0,8.8361
508730.0,133720.0,8.7635
508740.0,136710.0,8.8138
508740.0,130060.0,8.722999999999999
508750.0,133150.0,8.7313
508790.0,132590.0,8.7232
508800.0,137350.0,8.802999999999999
508820.0,132030.0,8.7276
508870.0,131470.0,8.7307
508880.0,138000.0,8.814
508920.0,130910.0,8.7173
508980.0,130360.0,8.6982
508990.0,135220.0,8.8422
508990.0,134620.0,8.8127
509000.0,134040.0,8.7621
509000.0,135820.0,8.8491
509020.0,133470.0,8.7213
509030.0,136440.0,8.8416
509050.0,132910.0,8.7095
509080.0,132340.0,8.7133
509090.0,137080.0,8.8249
509120.0,131780.0,8.7169
509160.0,137730.0,8.8157
509170.0,131220.0,8.7025
509260.0,138390.0,8.8004
509280.0,134950.0,8.8162
509280.0,134370.0,8.7631
509300.0,133790.0,8.7134
509300.0,135550.0,8.8443
509320.0,133220.0,8.6954
509320.0,136170.0,8.8534
509340.0,132660.0,8.6985
509370.0,136800.0,8.8513
509380.0,132090.0,8.702
509420.0,131530.0,8.6858
509450.0,137450.0,8.8395
509540.0,138110.0,8.8138
509570.0,134690.0,8.7679
509580.0,134110.0,8.7104
509590.0,135290.0,8.8203
509590.0,133540.0,8.6826
509610.0,135900.0,8.8486
509610.0,132970.0,8.6836
509640.0,132410.0,8.683
509660.0,136530.0,8.8611
509660.0,138790.0,8.7856
509680.0,131840.0,8.6654
509730.0,137170.0,8.8648
509820.0,137830.0,8.8408
509860.0,134430.0,8.7133
509870.0,133850.0,8.67
509870.0,135020.0,8.7766
509880.0,133280.0,8.6703
509900.0,135630.0,8.8262
509910.0,132720.0,8.6614
509940.0,138500.0,8.8023
509940.0,132150.0,8.6392
509950.0,136250.0,8.8564
510020.0,136890.0,8.8736
510110.0,137540.0,8.873
510150.0,134170.0,8.6676
510160.0,133590.0,8.6523
510160.0,134750.0,8.7228
510170.0,133020.0,8.6501
510190.0,135350.0,8.7867
510200.0,132460.0,8.6307
510220.0,138210.0,8.8351
510230.0,135970.0,8.8354
510300.0,136600.0,8.8686
510390.0,137250.0,8.8877
510440.0,133900.0,8.6363
510450.0,134490.0,8.6719
510450.0,133330.0,8.6296
510470.0,135080.0,8.7372
510500.0,137920.0,8.8692
510520.0,135690.0,8.798
510580.0,136320.0,8.8483
510630.0,138590.0,8.8355
510670.0,136960.0,8.8847
510730.0,134220.0,8.629
510750.0,134810.0,8.6847
510770.0,137620.0,8.8962
510790.0,135410.0,8.7514
510860.0,136030.0,8.8129
510900.0,138290.0,8.8629
510940.0,136670.0,8.8671
510960.0,139980.0,8.722000000000001
511030.0,134540.0,8.6323
511050.0,137320.0,8.9003
511060.0,138980.0,8.8167
511070.0,135130.0,8.6997
511130.0,135750.0,8.7681
511180.0,137980.0,8.898
511220.0,136370.0,8.8352
511230.0,139670.0,8.7498
511320.0,137020.0,8.891
511330.0,138660.0,8.8483
511350.0,134850.0,8.6426
511410.0,135460.0,8.7167
511430.0,140370.0,8.7113
511450.0,137670.0,8.9188
511490.0,136080.0,8.796
511500.0,139350.0,8.801
511590.0,136720.0,8.8672
511600.0,138350.0,8.8997
511640.0,141080.0,8.6848
511680.0,135180.0,8.6797
511690.0,140050.0,8.7457
511720.0,137370.0,8.9174
511760.0,139030.0,8.8531
511760.0,135790.0,8.7487
511860.0,136420.0,8.8377
511860.0,138030.0,8.9379
511880.0,141790.0,8.7369
511900.0,140760.0,8.7062
511950.0,134890.0,8.8043
511950.0,139730.0,8.8015
511980.0,137060.0,8.9063
512030.0,135500.0,8.731
512030.0,138710.0,8.9131
512120.0,136120.0,8.8026
512130.0,137710.0,8.9533
512130.0,141460.0,8.7222
512160.0,140430.0,8.7462
512210.0,139400.0,8.8691
512240.0,136750.0,8.888
512290.0,138380.0,8.9656
512300.0,135200.0,8.8609
512370.0,142160.0,8.7632
512380.0,141130.0,8.7215
512390.0,135820.0,8.798
512390.0,137400.0,8.9526
512420.0,140090.0,8.8146
512470.0,139060.0,8.9428
512500.0,136450.0,8.8662
512550.0,138060.0,9.0012
512620.0,141830.0,8.7671
512640.0,140790.0,8.7621
512640.0,137090.0,8.9455
512650.0,135520.0,8.863
512680.0,139750.0,8.9025
512730.0,138730.0,9.0125
512760.0,136140.0,8.8546
512800.0,137740.0,9.0196
512870.0,141490.0,8.7659
512870.0,142530.0,8.7952
512890.0,140440.0,8.8515
512890.0,136770.0,8.93
512930.0,139410.0,8.9962
512990.0,138400.0,9.0734
513020.0,135830.0,8.849
513050.0,137410.0,9.0186
513120.0,142180.0,8.8071
513120.0,141140.0,8.81
513140.0,140100.0,8.961
513150.0,136460.0,8.9063
513180.0,139070.0,9.0881
513230.0,138070.0,9.1157
513300.0,137090.0,9.0062
513360.0,141830.0,8.8264
513370.0,140790.0,8.9145
513370.0,142870.0,8.8276
513390.0,139750.0,9.075
513400.0,136140.0,8.8591
513430.0,138730.0,9.1756
513480.0,137740.0,9.1248
513550.0,136770.0,8.975
513600.0,141470.0,8.8866
513610.0,142520.0,8.8503
513620.0,140430.0,9.0414
513620.0,143550.0,8.8203
513640.0,139400.0,9.1891
513650.0,135820.0,8.8781
513670.0,138390.0,9.2404
513720.0,137410.0,9.1148
513790.0,136450.0,8.9172
513840.0,142160.0,8.8949
513850.0,141110.0,8.9985
513860.0,143200.0,8.854
513860.0,140070.0,9.1711
513880.0,139050.0,9.2973
513880.0,144220.0,8.818999999999999
513910.0,138050.0,9.2665
513960.0,137080.0,9.0839
514040.0,136120.0,8.9124
514080.0,141800.0,8.9779
514090.0,140750.0,9.1332
514090.0,142840.0,8.8959
514100.0,139710.0,9.2986
514110.0,143870.0,8.8229
514120.0,138700.0,9.3785
